충전소ID,충전소명,충전소주소,위도,경도
4607,양양오색주차장,강원도 양양군 서면 오색리 534,38.0774072,128.4525856
4608,용인도시공사 평온의숲,경기도 용인시 처인구 이동읍 어비리 1462,37.11950206,127.2270314
4609,구로리공원,서울특별시 구로구 구로동 139-82,37.49052,126.89152
4610,하늘공원 공영주차장,서울특별시 구로구 가리봉동 1-11,37.48724,126.88053
4611,동해역(ktx) 주차장,강원도 동해시 송정동 산 24-22,37.49693844,129.123027
4613,대한무역투자진흥공사,서울특별시 서초구 염곡동 300-9,37.46521457,127.0446693
4614,오금공원,서울특별시 송파구 오금동 51,37.50240462,127.130453
4615,경창시장 고객주차장,서울특별시 양천구 신월동 446-4,37.52385819,126.8423934
4599,청라 3동 행정복지센터,인천광역시 서구 청라동 1-786,37.53333539,126.6270221
4600,원주시립도서관,강원도 원주시 단구동 990,37.32658037,127.9529606
4601,영월 서부시장 제2주차장,강원도 영월군 영월읍 하송리 184-122,37.18104749,128.4646326
4602,소하도서관,경기도 광명시 소하동 1331,37.4456,126.88802
4603,하안도서관,경기도 광명시 하안동 683,37.46799,126.87369
4597,한국농어촌공사 구례지사,전라남도 구례군 구례읍 봉동리 188-1,35.21066234,127.4717451
4598,한국농어촌공사 여주이천지사,경기도 여주시 능서면 신지리 955-5,37.289622,127.569814
4595,남동논현도서관,인천광역시 남동구 논현동 611-7,37.40281455,126.7260481
4596,스퀘어원,인천광역시 연수구 동춘동 926,37.40594084,126.6836138
4594,군청 제2주차장 전기차 충전소,전라북도 고창군 고창읍 읍내리 198-3,35.435551,126.701171
4588,복개천공영주차장,경기도 오산시 원동 772-15,37.14424456,127.0720257
4589,운암공영주차장,경기도 오산시 원동 812-5,37.14714388,127.0753913
4590,오색시장 제2공영주차장,경기도 오산시 오산동 316-47,37.15342034,127.0707821
4591,맑음터공원,경기도 오산시 오산동 750-1,37.13986795,127.0636253
4592,광명지사(공용),경기도 광명시 철산동 255,37.47704202,126.8660241
4593,손불면사무소,전라남도 함평군 손불면 대전리 223-1,35.14321246,126.4317783
4586,오산시시설관리공단,"경기도 오산시 경기동로 33 (오산동, 오산스포츠센터)",37.15843804,127.0763481
4587,궐동공영주차장,"경기도 오산시 대호로62번길 63-11 (궐동, 궐동 공영주차장)",37.15707741,127.0562743
4575,보람동행정복지센터,세종특별자치시 보람동 631-4,36.4789,127.2903766
4576,조치원주차타워,세종특별자치시 조치원읍 원리 12-11,36.60040128,127.297931
4577,세종호수공원제1주차장,세종특별자치시 연기면 세종리 1201,36.4917873,127.2689071
4578,칠량면 공영주차장,전라남도 강진군 칠량면 영동리 1071,34.57254548,126.7996059
4579,군동면사무소 민원인주차장,전라남도 강진군 군동면 라천리 268,34.64473507,126.8153435
4580,하점면사무소,인천광역시 강화군 하점면 신봉리 617,37.77482619,126.4116778
4581,창리공영주차장,인천광역시 강화군 선원면 창리 606-9,37.72292685,126.4835028
4582,화도면사무소,인천광역시 강화군 화도면 상방리 839-1,37.63180723,126.4199549
4583,동막해변공영주차장,인천광역시 강화군 화도면 동막리 61-19,37.59423348,126.4564004
4584,내가면사무소,인천광역시 강화군 내가면 고천리 797-1,37.71973761,126.3898454
4585,선원면사무소,인천광역시 강화군 선원면 금월리 235-1,37.71326342,126.4848282
4560,해운대구청별관,부산광역시 해운대구 재송동 1192,35.18215257,129.1216025
4561,부산국제금융센터,부산광역시 남구 문현동 1229-1,35.14671299,129.0656683
4562,부산지방공단스포원,부산광역시 금정구 두구동 1641,35.28879968,129.1070779
4563,동울산종합시장 공영주차장,울산광역시 동구 전하동 647-1,35.51020427,129.4263611
4564,만덕동심공원 공영주차장,부산광역시 북구 만덕동 872-3,35.20897029,129.0387846
4565,구포2동 공영주차장,부산광역시 북구 구포동 969-4,35.20193039,128.9991855
4566,만덕1동 공영주차장,부산광역시 북구 만덕동 642-15,35.21395058,129.0303937
4567,낙동강하구에코센터,부산광역시 사하구 하단동 1150-8,35.10547832,128.9479612
4568,한국폴리텍대학 부산캠퍼스,"부산광역시 북구 만덕대로155번길 99 (덕천동, 한국폴리텍대학부산캠퍼스)",35.21845054,129.0190276
4569,롯데몰 동부산점,부산광역시 기장군 기장읍 당사리 524,35.19191441,129.2129438
4570,신천리 공영주차장,부산광역시 기장군 기장읍 신천리 1,35.24418178,129.2226308
4571,울주군 남부통합보건소,울산광역시 울주군 온양읍 망양리 465-7,35.45527182,129.2908734
4572,주례2동 행정복지센터,부산광역시 사상구 주례동 154-1,35.15007512,129.0104597
4574,강서경찰서,부산광역시 강서구 명지동 607-5,35.11645757,128.9064978
4558,홍주성 옆 공영주차장,충청남도 홍성군 홍성읍 오관리 434-2,36.59987988,126.6628036
4559,불국사농협 하나로마트,경상북도 경주시 시래동 376-3,35.77537222,129.2989038
4549,사립학교교직원연금공단,전라남도 나주시 빛가람동 348,35.02040134,126.7842396
4550,태평전통시장,대전광역시 중구 태평동 333-8,36.32587399,127.3978188
4551,대사동 제6노외공영주차장,대전광역시 중구 대사동 129-6,36.31685223,127.424941
4552,금산다락원(금산역사문화박물관),충청남도 금산군 금산읍 중도리 203-28,36.11385827,127.4920683
4553,중동공영주차타워,충청남도 공주시 중동 63,36.45485578,127.1257081
4554,공주대학교(후문),충청남도 공주시 신관동 182,36.46829455,127.1401204
4555,공주대학교(정문),충청남도 공주시 신관동 182,36.46829455,127.1401204
4556,공주의료원,충청남도 공주시 웅진동 266,36.4591447,127.109308
4557,공주박물관,충청남도 공주시 웅진동 360,36.46600294,127.1115242
4533,한국농어촌공사 영산강사업단,전라남도 목포시 상동 509,34.8081295,126.4148274
4534,수철리 공영 충전소,충청남도 예산군 예산읍 수철리 445-1,36.70913122,126.8740537
4535,산성리 역전시장 충전소,충청남도 예산군 예산읍 산성리 358-2,36.68787873,126.829068
4536,신양면사무소 충전소,충청남도 예산군 신양면 신양리 362-2,36.60131522,126.8677407
4537,논산시 문화예술회관,충청남도 논산시 내동 279-4,36.19074,127.0947
4538,화지시장,충청남도 논산시 화지동 41-119,36.20836,127.08648
4539,강경젓갈시장,충청남도 논산시 강경읍 염천리 20,36.16130879,127.0143417
4540,송촌주민센터 공영주차장,대전광역시 대덕구 송촌동 460-2,36.36646763,127.4389355
4541,강경대흥시장,충청남도 논산시 강경읍 대흥로 23-1 (대흥리),36.15589,127.01357
4542,논산시 농업기술센터,충청남도 논산시 부적면 덕평리 40-8,36.2132,127.14255
